GEO,GEOID2,est_pop
1500000US060014066011,60014066011,1123
1500000US060014066012,60014066012,1676
1500000US060014066013,60014066013,1946
1500000US060014066014,60014066014,436
1500000US060014066021,60014066021,1251
1500000US060014066022,60014066022,1564
1500000US060014067001,60014067001,1087
1500000US060014067002,60014067002,562
1500000US060014067003,60014067003,2034
1500000US060014067004,60014067004,761
1500000US060014067005,60014067005,540
1500000US060014068001,60014068001,553
1500000US060014068002,60014068002,1058
1500000US060014068003,60014068003,848
1500000US060014068004,60014068004,1154
1500000US060014069001,60014069001,499
1500000US060014069002,60014069002,1327
1500000US060014069003,60014069003,2115
1500000US060014070001,60014070001,1404
1500000US060014070002,60014070002,1360
1500000US060014070003,60014070003,919
1500000US060014070004,60014070004,1379
1500000US060014070005,60014070005,958
1500000US060014071011,60014071011,1972
1500000US060014071012,60014071012,1472
1500000US060014071021,60014071021,1477
1500000US060014071022,60014071022,1043
1500000US060014071023,60014071023,838
1500000US060014071024,60014071024,748
1500000US060014072001,60014072001,1986
1500000US060014072002,60014072002,1415
1500000US060014072003,60014072003,1017
1500000US060014072004,60014072004,2646
1500000US060014073001,60014073001,1382
1500000US060014073002,60014073002,1103
1500000US060014074001,60014074001,1926
1500000US060014074002,60014074002,1361
1500000US060014074003,60014074003,918
1500000US060014075001,60014075001,1019
1500000US060014075002,60014075002,2394
1500000US060014075003,60014075003,949
1500000US060014076001,60014076001,1503
1500000US060014076002,60014076002,1463
1500000US060014076003,60014076003,1157
1500000US060014076004,60014076004,1588
1500000US060014076005,60014076005,791
1500000US060014077001,60014077001,1301
1500000US060014077002,60014077002,1050
1500000US060014077003,60014077003,874
1500000US060014077004,60014077004,1015
1500000US060014078001,60014078001,923
1500000US060014078002,60014078002,1120
1500000US060014078003,60014078003,699
1500000US060014079001,60014079001,791
1500000US060014079002,60014079002,995
1500000US060014079003,60014079003,1185
1500000US060014080001,60014080001,743
1500000US060014080002,60014080002,2019
1500000US060014081001,60014081001,1263
1500000US060014081002,60014081002,3143
1500000US060014081003,60014081003,1181
1500000US060014081004,60014081004,759
1500000US060014082001,60014082001,1539
1500000US060014082002,60014082002,1926
1500000US060014082003,60014082003,1024
1500000US060014083001,60014083001,620
1500000US060014083002,60014083002,1019
1500000US060014083003,60014083003,1139
1500000US060014083004,60014083004,1736
1500000US060014083005,60014083005,658
1500000US060014084001,60014084001,1589
1500000US060014084002,60014084002,813
1500000US060014084003,60014084003,908
1500000US060014085001,60014085001,918
1500000US060014085002,60014085002,1525
1500000US060014085003,60014085003,1088
1500000US060014085004,60014085004,996
1500000US060014085005,60014085005,1405
1500000US060014086001,60014086001,1984
1500000US060014086002,60014086002,2053
1500000US060014086003,60014086003,1924
1500000US060014086004,60014086004,719
1500000US060014087001,60014087001,815
1500000US060014087002,60014087002,1861
1500000US060014087003,60014087003,1520
1500000US060014087004,60014087004,1033
1500000US060014087005,60014087005,1242
1500000US060014087006,60014087006,1263
1500000US060014088001,60014088001,1631
1500000US060014088002,60014088002,1469
1500000US060014088003,60014088003,1114
1500000US060014088004,60014088004,2062
1500000US060014089001,60014089001,1362
1500000US060014089002,60014089002,1688
1500000US060014090001,60014090001,2018
1500000US060014090002,60014090002,0
1500000US060014090003,60014090003,1757
1500000US060014090004,60014090004,0
1500000US060014091001,60014091001,1277
1500000US060014091002,60014091002,956
1500000US060014092001,60014092001,1978
1500000US060014092002,60014092002,1627
1500000US060014093001,60014093001,1722
1500000US060014093002,60014093002,1327
1500000US060014093003,60014093003,993
1500000US060014093004,60014093004,1068
1500000US060014094001,60014094001,706
1500000US060014094002,60014094002,3063
1500000US060014094003,60014094003,1542
1500000US060014095001,60014095001,1916
1500000US060014095002,60014095002,1357
1500000US060014095003,60014095003,1340
1500000US060014096001,60014096001,1277
1500000US060014096002,60014096002,580
1500000US060014096003,60014096003,955
1500000US060014096004,60014096004,453
1500000US060014096005,60014096005,1415
1500000US060014097001,60014097001,1160
1500000US060014097002,60014097002,1801
1500000US060014097003,60014097003,1211
1500000US060014097004,60014097004,1230
1500000US060014098001,60014098001,1036
1500000US060014098002,60014098002,1785
1500000US060014098003,60014098003,694
1500000US060014099001,60014099001,644
1500000US060014099002,60014099002,698
1500000US060014099003,60014099003,1199
1500000US060014099004,60014099004,923
1500000US060014100001,60014100001,932
1500000US060014100002,60014100002,2609
1500000US060014100003,60014100003,8
1500000US060014101001,60014101001,1309
1500000US060014101002,60014101002,1467
1500000US060014102001,60014102001,1487
1500000US060014102002,60014102002,1036
1500000US060014102003,60014102003,847
1500000US060014103001,60014103001,761
1500000US060014103002,60014103002,1292
1500000US060014103003,60014103003,1545
1500000US060014104001,60014104001,1279
1500000US060014104002,60014104002,1131
1500000US060014104003,60014104003,1736
1500000US060014105001,60014105001,2209
1500000US060014201001,60014201001,1071
1500000US060014201002,60014201002,684
1500000US060014201003,60014201003,679
1500000US060014202001,60014202001,1102
1500000US060014202002,60014202002,1104
1500000US060014202003,60014202003,990
1500000US060014203001,60014203001,1801
1500000US060014203002,60014203002,2182
1500000US060014203003,60014203003,965
1500000US060014204001,60014204001,3247
1500000US060014205001,60014205001,935
1500000US060014205002,60014205002,1578
1500000US060014206001,60014206001,1307
1500000US060014206002,60014206002,1049
1500000US060014206003,60014206003,988
1500000US060014211001,60014211001,790
1500000US060014211002,60014211002,1295
1500000US060014212001,60014212001,724
1500000US060014212002,60014212002,1454
1500000US060014212003,60014212003,725
1500000US060014212004,60014212004,747
1500000US060014213001,60014213001,1053
1500000US060014213002,60014213002,1111
1500000US060014213003,60014213003,907
1500000US060014213004,60014213004,853
1500000US060014214001,60014214001,1054
1500000US060014214002,60014214002,655
1500000US060014215001,60014215001,1207
1500000US060014215002,60014215002,1241
1500000US060014215003,60014215003,1356
1500000US060014216001,60014216001,747
1500000US060014216002,60014216002,1225
1500000US060014216003,60014216003,786
1500000US060014216004,60014216004,787
1500000US060014217001,60014217001,1674
1500000US060014217002,60014217002,905
1500000US060014217003,60014217003,993
1500000US060014218001,60014218001,1067
1500000US060014218002,60014218002,1174
1500000US060014219001,60014219001,794
1500000US060014219002,60014219002,1004
1500000US060014219003,60014219003,1088
1500000US060014219004,60014219004,1076
1500000US060014220001,60014220001,1436
1500000US060014220002,60014220002,537
1500000US060014221001,60014221001,820
1500000US060014221002,60014221002,1797
1500000US060014222001,60014222001,1239
1500000US060014222002,60014222002,1187
1500000US060014222003,60014222003,1127
1500000US060014223001,60014223001,923
1500000US060014223002,60014223002,1503
1500000US060014223003,60014223003,1464
1500000US060014224001,60014224001,1882
1500000US060014224002,60014224002,897
1500000US060014224003,60014224003,1408
1500000US060014225001,60014225001,1222
1500000US060014225002,60014225002,1053
1500000US060014225003,60014225003,1861
1500000US060014226001,60014226001,1421
1500000US060014227001,60014227001,959
1500000US060014227002,60014227002,1378
1500000US060014227003,60014227003,2870
1500000US060014228001,60014228001,4640
1500000US060014228002,60014228002,2007
1500000US060014228003,60014228003,2427
1500000US060014229001,60014229001,2392
1500000US060014229002,60014229002,2775
1500000US060014230001,60014230001,1914
1500000US060014230002,60014230002,1717
1500000US060014230003,60014230003,1048
1500000US060014231001,60014231001,1540
1500000US060014231002,60014231002,957
1500000US060014231003,60014231003,1075
1500000US060014231004,60014231004,747
1500000US060014232001,60014232001,1636
1500000US060014232002,60014232002,1433
1500000US060014233001,60014233001,1400
1500000US060014233002,60014233002,1769
1500000US060014233003,60014233003,891
1500000US060014234001,60014234001,1082
1500000US060014234002,60014234002,851
1500000US060014234003,60014234003,1905
1500000US060014234004,60014234004,1469
1500000US060014235001,60014235001,1144
1500000US060014235002,60014235002,968
1500000US060014235003,60014235003,1172
1500000US060014236011,60014236011,1554
1500000US060014236012,60014236012,1285
1500000US060014236021,60014236021,1722
1500000US060014236022,60014236022,1582
1500000US060014236023,60014236023,1939
1500000US060014237001,60014237001,1921
1500000US060014237002,60014237002,1140
1500000US060014237003,60014237003,1318
1500000US060014238001,60014238001,652
1500000US060014238002,60014238002,1109
1500000US060014238003,60014238003,1149
1500000US060014239011,60014239011,918
1500000US060014239012,60014239012,1068
1500000US060014239021,60014239021,699
1500000US060014239022,60014239022,843
1500000US060014240011,60014240011,1008
1500000US060014240012,60014240012,1113
1500000US060014240013,60014240013,1102
1500000US060014240014,60014240014,1097
1500000US060014240021,60014240021,1214
1500000US060014240022,60014240022,1311
1500000US060014251011,60014251011,335
1500000US060014251012,60014251012,1403
1500000US060014251021,60014251021,1172
1500000US060014251022,60014251022,1696
1500000US060014251023,60014251023,626
1500000US060014251031,60014251031,783
1500000US060014251032,60014251032,979
1500000US060014251033,60014251033,1109
1500000US060014251041,60014251041,1841
1500000US060014251042,60014251042,1580
1500000US060014261001,60014261001,1541
1500000US060014261002,60014261002,495
1500000US060014261003,60014261003,1309
1500000US060014261004,60014261004,926
1500000US060014261005,60014261005,1261
1500000US060014261006,60014261006,807
1500000US060014262001,60014262001,1631
1500000US060014262002,60014262002,2085
1500000US060014262003,60014262003,1241
1500000US060014271001,60014271001,1221
1500000US060014271002,60014271002,801
1500000US060014271003,60014271003,1764
1500000US060014272001,60014272001,702
1500000US060014272002,60014272002,1676
1500000US060014272003,60014272003,1099
1500000US060014272004,60014272004,665
1500000US060014272005,60014272005,76
1500000US060014273001,60014273001,1277
1500000US060014273002,60014273002,1284
1500000US060014273003,60014273003,1165
1500000US060014273004,60014273004,844
1500000US060014273005,60014273005,599
1500000US060014276001,60014276001,2615
1500000US060014276002,60014276002,2357
1500000US060014276003,60014276003,708
1500000US060014277001,60014277001,1013
1500000US060014277002,60014277002,2066
1500000US060014277003,60014277003,1103
1500000US060014277004,60014277004,893
1500000US060014278001,60014278001,1191
1500000US060014278002,60014278002,936
1500000US060014278003,60014278003,1093
1500000US060014278004,60014278004,844
1500000US060014278005,60014278005,1177
1500000US060014279001,60014279001,999
1500000US060014279002,60014279002,1194
1500000US060014279003,60014279003,682
1500000US060014279004,60014279004,846
1500000US060014279005,60014279005,1230
1500000US060014280001,60014280001,670
1500000US060014280002,60014280002,2081
1500000US060014281001,60014281001,1688
1500000US060014281002,60014281002,1039
1500000US060014281003,60014281003,1196
1500000US060014281004,60014281004,943
1500000US060014282001,60014282001,1119
1500000US060014282002,60014282002,1761
1500000US060014282003,60014282003,1117
1500000US060014282004,60014282004,1301
1500000US060014282005,60014282005,1210
1500000US060014283011,60014283011,2543
1500000US060014283012,60014283012,912
1500000US060014283013,60014283013,878
1500000US060014283014,60014283014,2679
1500000US060014283021,60014283021,2569
1500000US060014283022,60014283022,2542
1500000US060014283023,60014283023,2361
1500000US060014284001,60014284001,1987
1500000US060014284002,60014284002,1010
1500000US060014284003,60014284003,1519
1500000US060014285001,60014285001,2455
1500000US060014285002,60014285002,692
1500000US060014286001,60014286001,1562
1500000US060014286002,60014286002,632
1500000US060014286003,60014286003,1218
1500000US060014287001,60014287001,3206
1500000US060014287002,60014287002,1236
1500000US060014301011,60014301011,1350
1500000US060014301012,60014301012,2037
1500000US060014301013,60014301013,3512
1500000US060014301021,60014301021,2427
1500000US060014302001,60014302001,1814
1500000US060014302002,60014302002,967
1500000US060014302003,60014302003,951
1500000US060014302004,60014302004,1703
1500000US060014302005,60014302005,1255
1500000US060014303001,60014303001,1419
1500000US060014303002,60014303002,1298
1500000US060014303003,60014303003,988
1500000US060014304001,60014304001,819
1500000US060014304002,60014304002,1331
1500000US060014305001,60014305001,2908
1500000US060014305002,60014305002,1472
1500000US060014305003,60014305003,1696
1500000US060014306001,60014306001,1201
1500000US060014306002,60014306002,1376
1500000US060014306003,60014306003,3189
1500000US060014306004,60014306004,843
1500000US060014307001,60014307001,882
1500000US060014307002,60014307002,1988
1500000US060014307003,60014307003,1268
1500000US060014308001,60014308001,710
1500000US060014308002,60014308002,845
1500000US060014308003,60014308003,2400
1500000US060014308004,60014308004,1502
1500000US060014309001,60014309001,1920
1500000US060014309002,60014309002,3325
1500000US060014310001,60014310001,1162
1500000US060014310002,60014310002,1762
1500000US060014311001,60014311001,1466
1500000US060014311002,60014311002,2109
1500000US060014312001,60014312001,887
1500000US060014312002,60014312002,2573
1500000US060014312003,60014312003,2358
1500000US060014321001,60014321001,1522
1500000US060014321002,60014321002,1346
1500000US060014321003,60014321003,924
1500000US060014322001,60014322001,999
1500000US060014322002,60014322002,1052
1500000US060014322003,60014322003,2436
1500000US060014323001,60014323001,1519
1500000US060014323002,60014323002,684
1500000US060014323003,60014323003,2524
1500000US060014324001,60014324001,2002
1500000US060014324002,60014324002,2481
1500000US060014324003,60014324003,1978
1500000US060014325011,60014325011,1495
1500000US060014325012,60014325012,789
1500000US060014325013,60014325013,2453
1500000US060014325021,60014325021,2527
1500000US060014325022,60014325022,1077
1500000US060014325023,60014325023,1505
1500000US060014326001,60014326001,1195
1500000US060014326002,60014326002,1195
1500000US060014326003,60014326003,981
1500000US060014326004,60014326004,826
1500000US060014326005,60014326005,3194
1500000US060014327001,60014327001,1036
1500000US060014327002,60014327002,936
1500000US060014327003,60014327003,871
1500000US060014328001,60014328001,781
1500000US060014328002,60014328002,1430
1500000US060014328003,60014328003,1678
1500000US060014330001,60014330001,1086
1500000US060014330002,60014330002,1016
1500000US060014330003,60014330003,711
1500000US060014330004,60014330004,1025
1500000US060014331021,60014331021,1893
1500000US060014331022,60014331022,2268
1500000US060014331031,60014331031,2711
1500000US060014331032,60014331032,1094
1500000US060014331041,60014331041,923
1500000US060014331042,60014331042,659
1500000US060014331043,60014331043,2257
1500000US060014332001,60014332001,2097
1500000US060014332002,60014332002,2231
1500000US060014332003,60014332003,1647
1500000US060014332004,60014332004,1417
1500000US060014333001,60014333001,1532
1500000US060014333002,60014333002,722
1500000US060014333003,60014333003,1784
1500000US060014333004,60014333004,2050
1500000US060014333005,60014333005,1753
1500000US060014334001,60014334001,923
1500000US060014334002,60014334002,978
1500000US060014334003,60014334003,455
1500000US060014334004,60014334004,1629
1500000US060014334005,60014334005,920
1500000US060014334006,60014334006,1641
1500000US060014335001,60014335001,812
1500000US060014335002,60014335002,1265
1500000US060014335003,60014335003,1391
1500000US060014335004,60014335004,1196
1500000US060014336001,60014336001,880
1500000US060014336002,60014336002,2134
1500000US060014336003,60014336003,1361
1500000US060014336004,60014336004,1382
1500000US060014337001,60014337001,1285
1500000US060014337002,60014337002,1423
1500000US060014337003,60014337003,961
1500000US060014338001,60014338001,714
1500000US060014338002,60014338002,2717
1500000US060014338003,60014338003,2028
1500000US060014338004,60014338004,2823
1500000US060014339001,60014339001,2339
1500000US060014339002,60014339002,1670
1500000US060014339003,60014339003,1480
1500000US060014339004,60014339004,1989
1500000US060014340001,60014340001,2833
1500000US060014340002,60014340002,958
1500000US060014340003,60014340003,1566
1500000US060014351021,60014351021,2406
1500000US060014351022,60014351022,3573
1500000US060014351031,60014351031,3340
1500000US060014351032,60014351032,2953
1500000US060014351033,60014351033,629
1500000US060014351041,60014351041,1811
1500000US060014351042,60014351042,3251
1500000US060014351043,60014351043,820
1500000US060014352001,60014352001,2139
1500000US060014352002,60014352002,2447
1500000US060014353001,60014353001,1461
1500000US060014353002,60014353002,2021
1500000US060014353003,60014353003,1146
1500000US060014354001,60014354001,2049
1500000US060014354002,60014354002,761
1500000US060014354003,60014354003,1550
1500000US060014355001,60014355001,896
1500000US060014355002,60014355002,1801
1500000US060014355003,60014355003,1362
1500000US060014356011,60014356011,3368
1500000US060014356012,60014356012,2333
1500000US060014356021,60014356021,1744
1500000US060014356022,60014356022,1027
1500000US060014356023,60014356023,1470
1500000US060014356024,60014356024,1252
1500000US060014357001,60014357001,1545
1500000US060014357002,60014357002,1214
1500000US060014357003,60014357003,1107
1500000US060014357004,60014357004,1100
1500000US060014358001,60014358001,1293
1500000US060014358002,60014358002,1574
1500000US060014358003,60014358003,1454
1500000US060014358004,60014358004,1293
1500000US060014359001,60014359001,1673
1500000US060014359002,60014359002,1709
1500000US060014359003,60014359003,1155
